年份,133行业名称,是否县域,用电量
2017,1.农业,,0.2911091116367679
2017,1.农副食品加工业,,0.7508201553326398
2017,1.房屋建筑业,,0.4686200643471906
2017,1.煤炭开采和洗选业,,0.025002496350848724
2017,1.电信、广播电视和卫星传输服务,,0.5480299335383207
2017,1.电力、热力生产和供应业,,0.09657545487132035
2017,1.科学研究和技术服务业,,0.49769603999731804
2017,10.造纸和纸制品业,,0.723898588330789
2017,11.印刷和记录媒介复制业,,0.19526184539070712
2017,12.文教、工美、体育和娱乐用品制造业,,0.7020304581515766
2017,13.石油、煤炭及其他燃料加工业,,0.19403011373683754
2017,14.化学原料和化学制品制造业,,0.7119878684333927
2017,15.医药制造业,,0.023396372852286018
2017,16.化学纤维制造业,,0.49858470532464383
2017,17.橡胶和塑料制品业,,0.2827444702188935
2017,18.非金属矿物制品业,,0.3149922508459655
2017,19.黑色金属冶炼和压延加工业,,0.627662673860932
2017,2.互联网和相关服务,,0.5974832654845994
2017,2.土木工程建筑业,,0.8272303310463364
2017,2.林业,,0.8285667453851594
2017,2.水利、环境和公共设施管理业,,0.3735161514909725
2017,2.燃气生产和供应业,,0.39953502973647403
2017,2.石油和天然气开采业,,0.39341572084965537
2017,2.食品制造业,,0.04352542315345953
2017,20.有色金属冶炼和压延加工业,,0.7814843516729714
2017,21.金属制品业,,0.384827596306195
2017,22.通用设备制造业,,0.4877094683192389
2017,23.专用设备制造业,,0.8261112790215228
2017,24.汽车制造业,,0.4161616001526719
2017,25.铁路.船舶.航空航天和其他运输设备制造业,,0.429958970962215
2017,26.电气机械和器材制造业,,0.35530382893691836
2017,27.计算机、通信和其他电子设备制造业,,0.7557006489634694
2017,28.仪器仪表制造业,,0.03794538823815374
2017,29.其他制造业,,0.27490358336898557
2017,3.居民服务、修理和其他服务业,,0.3377499538037654
2017,3.建筑安装业,,0.8600400076202109
2017,3.水的生产和供应业,,0.18224081766870848
2017,3.畜牧业,,0.654255519313519
2017,3.软件和信息技术服务业,,0.979300862068799
2017,3.酒、饮料及精制茶制造业,,0.5807913861073637
2017,3.黑色金属矿采选业,,0.3400184931186572
2017,30.废弃资源综合利用业,,0.2258958363468918
2017,31.金属制品、机械和设备修理业,,0.13872826184526854
2017,4.建筑装饰、装修和其他建筑业,,0.924927836578964
2017,4.教育、文化、体育和娱乐业,,0.8580332126984249
2017,4.有色金属矿采选业,,0.45530983936916636
2017,4.渔业,,0.06491355912865515
2017,4.烟草制品业,,0.09572474078689885
2017,5.农、林、牧、渔专业及辅助性活动,,0.6790266714052184
2017,5.卫生和社会工作,,0.1404710779991466
2017,5.纺织业,,0.7792057183003392
2017,5.非金属矿采选业,,0.7184362482164297
2017,6.公共管理和社会组织、国际组织,,0.9672017444093514
2017,6.其他采矿业,,0.8045183968358197
2017,6.纺织服装、服饰业,,0.05267695415761642
2017,7.皮革、毛皮、羽毛及其制品和制鞋业,,0.8224410939198536
2017,8.木材加工和木、竹、藤、棕、草制品业,,0.6240334384901283
2017,9.家具制造业,,0.7486391951694004
2017,A、全行业用电合计,,0.8231982960828611
2017,B、城乡居民生活用电合计,,0.9815686119306944
2017,一、农、林、牧、渔业,,0.7953565346103978
2017,七、住宿和餐饮业,,0.16254681635226442
2017,三、建筑业,,0.7150626234281097
2017,九、房地产业,,0.610612836899887
2017,乡村居民,,0.7669085697753072
2017,二、工业,,0.7915733876071279
2017,五、信息传输.软件和信息技术服务业,,0.7494647977469848
2017,全社会用电总计,,0.5436188874510607
2017,八、金融业,,0.44202581360630133
2017,六、批发和零售业,,0.6164929312988264
2017,其中:地质勘查,,0.7818065805077371
2017,其中:煤化工,,0.9989961646468648
2017,其中：中成药生产,,0.5704516288597755
2017,其中：互联网数据服务,,0.5437576289629219
2017,其中：体育用品制造,,0.38249113283955083
2017,其中：充换电服务业,,0.9583574494159562
2017,其中：光伏设备及元器件制造,,0.29700194269953617
2017,其中：公共照明,,0.6620120041687609
2017,其中：医疗仪器设备及器械制造,,0.7894644052805
2017,其中：排灌,,0.8259332855782031
2017,其中：教育,,0.5850692303605562
2017,其中：新能源车整车制造,,0.07464223204436715
2017,其中：橡胶制品业,,0.041084179877807436
2017,其中：氯碱,,0.9003209061687487
2017,其中：水利管理业,,0.9043235240270994
2017,其中：水泥制造,,0.5219346277734856
2017,其中：电厂生产全部耗用电量,,0.5236853197950402
2017,其中：碳化硅,,0.16603022338979168
2017,其中：科技推广和应用服务业,,0.42933339022043904
2017,其中：租赁业,,0.09729398667940847
2017,其中：结构性金属制品制造,,0.5718406193520515
2017,其中：肥料制造,,0.8963397975764456
2017,其中：计算机制造,,0.9833429620136287
2017,其中：钢铁,,0.7952753350903463
2017,其中：铁路运输设备制造,,0.860650108338624
2017,其中：铝冶炼,,0.9117781468829176
2017,其中：风能原动设备制造,,0.6122457245446383
2017,十、租赁和商务服务业,,0.739310641140562
2017,十一、公共服务及管理组织,,0.05259148341285769
2017,四、交通运输、仓储和邮政业,,0.26602843127367604
2017,城市轨道交通设备制造,,0.4437229635467538
2017,城镇居民,,0.5666946543675468
2017,塑料制品业,,0.4325919044322688
